2026-06-30 13:11:14.130 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Abdifatah Diis Shafat: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:11:14.519 | DEBUG    | __main__:read_docx:201 - DOCX: Suleiman Ahmed Cortech CV.docx → 14100 chars
2026-06-30 13:11:23.097 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Suleiman Ahmed Osman
2026-06-30 13:11:25.224 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Suleiman Ahmed Osman: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:11:25.911 | DEBUG    | __main__:read_pdf:170 - PDF: amina -updated CV-2024.pdf → 5401 chars
2026-06-30 13:11:32.169 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Amina Mohamed Ibrahim
2026-06-30 13:11:42.187 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Amina Mohamed Ibrahim: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:11:42.584 | DEBUG    | __main__:read_docx:201 - DOCX: mike.docx → 21940 chars
2026-06-30 13:11:49.897 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Erick Maiko Akama
2026-06-30 13:11:52.161 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Erick Maiko Akama: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:11:52.633 | DEBUG    | __main__:read_docx:201 - DOCX: TECHNICAL PROPOSAL HI Kenya.docx → 72578 chars
2026-06-30 13:12:00.417 | DEBUG    | __main__:extract_proposal_info:413 - Extracted proposal: Provision of Consultancy Services to undertake Agritech landscape study in Kenya (AYuTe Africa Challenge)
2026-06-30 13:12:30.491 | ERROR    | __main__:add_proposal_to_airtable:581 - Failed to add proposal Provision of Consultancy Services to undertake Agritech landscape study in Kenya (AYuTe Africa Challenge): ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/PAST_PROPOSALS', '{\'type\': \'INVALID_VALUE_FOR_COLUMN\', \'message\': \'Field "year" cannot accept the provided value\'}')
2026-06-30 13:12:31.223 | DEBUG    | __main__:read_docx:201 - DOCX: Technical Proposal Cortech to C40 Ethiopia.docx → 104074 chars
2026-06-30 13:12:40.533 | DEBUG    | __main__:extract_proposal_info:413 - Extracted proposal: Strengthening Urban Climate Resilience through Climate Risk Assessment and Community Action in Addis Ababa
2026-06-30 13:12:50.654 | DEBUG    | __main__:read_docx:201 - DOCX: Technical Proposal Cortech to Kituo Cha Sheria.docx → 100266 chars
2026-06-30 13:12:59.095 | DEBUG    | __main__:extract_proposal_info:413 - Extracted proposal: Refugee Labour Market Study and Strategic Advocacy Support
2026-06-30 13:13:05.027 | ERROR    | __main__:add_proposal_to_airtable:581 - Failed to add proposal Refugee Labour Market Study and Strategic Advocacy Support: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/PAST_PROPOSALS', '{\'type\': \'INVALID_VALUE_FOR_COLUMN\', \'message\': \'Field "year" cannot accept the provided value\'}')
2026-06-30 13:13:05.554 | DEBUG    | __main__:read_docx:201 - DOCX: Technical Proposal GREDO.docx → 81083 chars
2026-06-30 13:13:13.409 | DEBUG    | __main__:extract_proposal_info:413 - Extracted proposal: Documentation of Best Practices and Lessons Learnt under the Green Skills for Sustainable Employment Opportunities Intervention in Baidoa, Somalia
2026-06-30 13:13:27.133 | ERROR    | __main__:add_proposal_to_airtable:581 - Failed to add proposal Documentation of Best Practices and Lessons Learnt under the Green Skills for Sustainable Employment Opportunities Intervention in Baidoa, Somalia: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/PAST_PROPOSALS', '{\'type\': \'INVALID_VALUE_FOR_COLUMN\', \'message\': \'Field "year" cannot accept the provided value\'}')
2026-06-30 13:13:27.717 | DEBUG    | __main__:read_docx:201 - DOCX: Technical Proposal IGAD.docx → 117302 chars
2026-06-30 13:13:37.724 | DEBUG    | __main__:extract_proposal_info:413 - Extracted proposal: End-of-Project Evaluation of the 'Improving Land Governance in the IGAD Region' Programme (Phase II)
